node,tech,scale,count
3,1,2,1
3,14,2,1
9,1,1,1
9,1,2,2
9,14,2,2
10,7,3,1
10,33,3,1
13,1,1,2
13,1,3,1
13,14,3,1
14,1,3,1
14,27,3,1
17,1,2,2
17,27,2,1
20,1,2,2
20,14,2,1
22,1,1,2
22,1,2,1
22,14,2,1
23,1,1,2
23,1,2,1
23,27,2,1
24,1,1,1
24,1,2,1
24,27,2,1
25,1,1,1
25,1,2,1
25,27,2,1
27,1,2,1
27,14,2,1
28,1,2,2
28,27,2,1
35,7,1,1
37,7,3,1
37,20,3,1
43,7,1,2
43,7,2,1
43,20,2,1
48,1,1,1
48,1,2,1
48,27,2,1
49,1,2,1
49,14,2,1
55,6,1,2
55,7,1,1
55,7,2,1
55,20,2,1
55,32,1,1
56,1,2,2
56,14,2,1
60,1,1,2
60,1,2,1
60,14,2,1
62,1,2,1
62,14,1,1
65,1,1,2
65,1,2,1
65,14,2,1
69,1,1,1
69,1,2,1
69,14,2,1
71,1,1,2
71,1,2,1
71,27,2,1
72,1,1,2
72,14,1,1
